pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
64.0,-58.0,90.0,top,C1,,,C_Disc_D10.5mm_W5.0mm_P5.00mm,220pf,tht
88.0,-38.0,0.0,top,C2,,,C_Disc_D10.5mm_W5.0mm_P5.00mm,10nf,tht
99.0,-73.0,90.0,top,C3,,,C_Disc_D10.5mm_W5.0mm_P5.00mm,32pF,tht
93.0,-60.0,-90.0,top,C4,,,C_Disc_D10.5mm_W5.0mm_P5.00mm,70.26pF,tht
112.0,-60.0,-90.0,top,C5,,,C_Disc_D10.5mm_W5.0mm_P5.00mm,227.36pF,tht
131.0,-60.0,-90.0,top,C6,,,C_Disc_D10.5mm_W5.0mm_P5.00mm,70.26pF,tht
138.41,-53.0,0.0,top,J1,,,SMA_Amphenol_132289_EdgeMount,Conn_Coaxial_Small,smt
44.0,-38.0,90.0,top,J2,,,PinHeader_1x05_P2.54mm_Vertical,Conn_01x05,tht
61.0,-88.0,0.0,top,L1,,,L_Axial_L11.0mm_D4.5mm_P15.24mm_Horizontal_Fastron_MECC,1µH,tht
110.24,-53.0,180.0,top,L2,,,FT37-43_Upright_Inductor_P15.24mm,.46µH,tht
129.24,-53.0,180.0,top,L3,,,FT37-43_Upright_Inductor_P15.24mm,.46µH,tht
91.24,-46.5,180.0,top,LP1,,,FT37-43_Upright_Bifilar_Primary,2.5µH,tht
76.0,-53.0,0.0,top,LS1,,,FT37-43_Upright_Bifilar_Secondary,2.5µH,tht
69.0,-59.0,-90.0,top,R1,,,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,100k,tht
86.0,-75.24,90.0,top,R3,,,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,100,tht
86.0,-88.0,-90.0,top,RV1,,,Potentiometer_Trimmer_Horizontal_Triangle_P5.00mm_H5.00mm,R_Potentiometer_US,tht
66.0,-83.0,90.0,top,RZ1,,,RP2040-Zero_Headers_P2.54mm,RP2040-Zero,tht
72.0,-53.0,180.0,top,U3,,,TO-92,T2N7002AK_G0_00,tht
